time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_D0,Current_temp_D1,Current_temp_D2,Current_temp_D3,Current_temp_D4,Current_temp_D5,Current_temp_D6,Current_temp_D7_Ableiter-/Heater,Target_temp_D0,Target_temp_D1,Target_temp_D2,Target_temp_D3,Target_temp_D4,Target_temp_D5,Target_temp_D6,Target_temp_D7_Ableiter-/Heater,kp_D0,kp_D1,kp_D2,kp_D3,kp_D4,kp_D5,kp_D6,kp_D7_Ableiter-/Heater,ki_D0,ki_D1,ki_D2,ki_D3,ki_D4,ki_D5,ki_D6,ki_D7_Ableiter-/Heater,kd_D0,kd_D1,kd_D2,kd_D3,kd_D4,kd_D5,kd_D6,kd_D7_Ableiter-/Heater,Output_D0,Output_D1,Output_D2,Output_D3,Output_D4,Output_D5,Output_D6,Output_D7_Ableiter-/Heater,BaSyTec Line.Loop_D0,BaSyTec Line.Loop_D1,BaSyTec Line.Loop_D2,BaSyTec Line.Loop_D3,BaSyTec Line.Loop_D4,BaSyTec Line.Loop_D5,BaSyTec Line.Loop_D6,BaSyTec Line.Loop_D7_Ableiter-/Heater
20250128 _164548,45685.6984769444,1738082748.40813,00:00:00,25,25.01,24.99,25,24.99,25,25,25.23,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,9.4,10.37,10.85,11.36,11.8,8.59,10.75,-58.19,.,.,.,.,.,.,.,.
20250128 _164549,45685.698488588,1738082749.41465,00:00:00,25,25,24.99,25,25.01,25,25,25.29,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.2,12.39,10.9,11.56,11.47,10.46,10.64,-38.07,.,.,.,.,.,.,.,.
20250128 _164550,45685.6985003241,1738082750.42823,00:00:00,25,24.99,25,24.99,25.01,25,25.01,24.73,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.32,14.7,10.7,11.7,11.31,8.39,8.57,33.09,.,.,.,.,.,.,.,.
20250128 _164551,45685.6985119097,1738082751.42988,00:00:00,25,24.99,25.01,25,25.01,25.01,25.01,25.19,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.22,12.81,10.46,11.64,11.36,10.11,10.45,-6.57,.,.,.,.,.,.,.,.
20250128 _164552,45685.6985236227,1738082752.44113,00:00:00,25,25,25,25,24.99,25,25,24.85,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.21,12.61,10.52,11.54,13.7,10.18,10.66,4.65,.,.,.,.,.,.,.,.
20250128 _164553,45685.6985352083,1738082753.44205,00:00:00,25,25.01,25,25,24.99,25,24.99,25.08,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.2,12.34,10.64,11.41,11.76,10.38,10.81,2.2,.,.,.,.,.,.,.,.
20250128 _164554,45685.698546794,1738082754.44339,00:00:00,25.01,25,24.99,25,25,24.99,25,24.82,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,9.28,12.41,10.89,11.38,11.56,10.51,10.74,42.82,.,.,.,.,.,.,.,.
20250128 _164555,45685.6985584838,1738082755.45396,00:00:00,25.01,25,25,25,25.01,25,25,25.23,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.05,12.51,10.69,11.47,11.43,10.33,8.7,-50.13,.,.,.,.,.,.,.,.
20250128 _164556,45685.6985702199,1738082756.46747,00:00:00,25.01,25,25.01,24.99,25.01,25,25.01,24.74,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,9.22,12.65,10.44,11.7,11.39,10.2,10.49,43.84,.,.,.,.,.,.,.,.
20250128 _164557,45685.6985819097,1738082757.47734,00:00:00,25,25,25.01,25,25,25,25.01,25.28,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.11,12.69,10.38,11.52,11.49,10.17,10.46,-49.02,.,.,.,.,.,.,.,.
