time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_A0,Current_temp_A1,Current_temp_A2,Current_temp_A3,Current_temp_A4,Current_temp_A5,Current_temp_A6,Current_temp_A7/A2,Target_temp_A0,Target_temp_A1,Target_temp_A2,Target_temp_A3,Target_temp_A4,Target_temp_A5,Target_temp_A6,Target_temp_A7/A2,kp_A0,kp_A1,kp_A2,kp_A3,kp_A4,kp_A5,kp_A6,kp_A7/A2,ki_A0,ki_A1,ki_A2,ki_A3,ki_A4,ki_A5,ki_A6,ki_A7/A2,kd_A0,kd_A1,kd_A2,kd_A3,kd_A4,kd_A5,kd_A6,kd_A7/A2,Output_A0,Output_A1,Output_A2,Output_A3,Output_A4,Output_A5,Output_A6,Output_A7/A2,BaSyTec Line.Loop_A0,BaSyTec Line.Loop_A1,BaSyTec Line.Loop_A2,BaSyTec Line.Loop_A3,BaSyTec Line.Loop_A4,BaSyTec Line.Loop_A5,BaSyTec Line.Loop_A6,BaSyTec Line.Loop_A7/A2
20250210 _143955,45698.6110604398,1739198395.62287,00:00:00,25,25.07,25,24.98,25,25,24.99,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11,0,11.43,10.82,11.88,9.65,10.96,10.1,.,.,.,.,.,.,.,.
20250210 _143956,45698.6110721412,1739198396.63338,00:00:00,24.99,25.08,25,25,25,25,25,25.01,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.23,0,11.45,10.24,11.64,11.61,10.87,9.76,.,.,.,.,.,.,.,.
20250210 _143957,45698.6110838079,1739198397.6414,00:00:00,24.99,25.08,25,25.02,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.29,0,11.23,9.27,11.59,11.72,10.73,9.82,.,.,.,.,.,.,.,.
20250210 _143958,45698.6110953935,1739198398.64227,00:00:00,25,25.07,25.01,25.01,25,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.2,0,11.09,11.89,11.69,11.62,10.72,9.93,.,.,.,.,.,.,.,.
20250210 _143959,45698.6111071065,1739198399.65403,00:00:00,25,25.07,25,24.98,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.07,0,11.15,10.75,11.81,11.62,10.71,10.08,.,.,.,.,.,.,.,.
20250210 _144000,45698.6111186921,1739198400.65514,00:00:00,25,25.08,25,24.99,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.03,0,11.25,8.33,11.84,9.77,10.55,9.86,.,.,.,.,.,.,.,.
20250210 _144001,45698.6111303241,1739198401.6601,00:00:00,25,25.08,25,25.02,25,25,25,25.01,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11,0,11.38,9.46,11.73,9.8,10.65,9.72,.,.,.,.,.,.,.,.
20250210 _144002,45698.6111419329,1739198402.66361,00:00:00,25,25.08,25,25.01,25.01,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.98,0,11.28,9.55,11.46,11.67,10.8,9.78,.,.,.,.,.,.,.,.
20250210 _144003,45698.6111536806,1739198403.67841,00:00:00,24.99,25.07,25,24.98,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.23,0,11.4,10.57,13.65,11.68,10.82,9.88,.,.,.,.,.,.,.,.
20250210 _144004,45698.6111653009,1739198404.68271,00:00:00,24.99,25.07,25,24.98,25,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,9.63,0,9.58,10.72,11.78,11.68,10.69,10.02,.,.,.,.,.,.,.,.
